title,year
Perfect Days,2023
My Life as a Courgette,2016
Night and Fog,1956
Paris Is Burning,1990
Leila's Brothers,2022
In the Mood for Love,2000
Close,2022
Portrait of a Lady on Fire,2019
Where Is the Friend's House?,1987
The Gleaners and I,2000
"So Long, My Son",2019
No Other Land,2024
"Paris, Texas",1984
The Godfather,1972
Incendies,2010
Stalker,1979
Seven Samurai,1954
Crossing,2024
Monster,2023
The Beaches of Agnès,2008
"Love, Deutschmarks and Death",2022
Blue,2017
Apocalypse Now Redux,2001
Aftersun,2022
Drive My Car,2021
The 400 Blows,1959
La Haine,1995
All About My Mother,1999
2001: A Space Odyssey,1968
La jetée,1962
The Girl with the Needle,2024
Festen,1998
Persona,1966
Parasite,2019
The Fall,2006
Ran,1985
Modern Times,1936
Witches,2024
Nights of Cabiria,1957
Crossing the Bridge – The Sound of Istanbul,2005
Tripping With Nils Frahm,2020
Come and See,1985
Ryuichi Sakamoto: Coda,2017
Bear Story,2014
Chungking Express,1994
Three Colors: Red,1994
Apocalypse Now,1979
Spirited Away,2001
Wings of Desire,1987
Bicycle Thieves,1948
8½,1963
Meeting the Man: James Baldwin in Paris,1970
The Godfather: Part II,1974
The Great Dictator,1940
A Separation,2011
Sans soleil,1983
Salut les Cubains,1963
City Lights,1931
The Lunchbox,2013
The Mirror,1975
Man With a Movie Camera,1929
Tokyo Story,1953
Sweet Bean,2015
Winter Sleep,2014
The Beasts,2022
Maurice's Bar,2023
Daguerréotypes,1975
The Father,2020
Buena Vista Social Club,1999
The Salt of the Earth,2014
Harakiri,1962
Honeyland,2019
The Quiet Girl,2022
Mr. Bachmann and His Class,2021
The Fire Within: A Requiem for Katia and Maurice Krafft,2022
Ciro & Me,2018
Oldboy,2003
Three Colors: Blue,1993
Pulp Fiction,1994
Taxi Driver,1976
The Worst Person in the World,2021
Fantastic Planet,1973
Rear Window,1954
Dr. Strangelove,1964
Citizen Kane,1941
The Sacrifice,1986
The Seventh Seal,1957
The Handmaiden,2016
Holy Spider,2022
Laurence Anyways,2012
A Trip to the Moon,1902
"The Good, the Bad and the Ugly",1966
Great Freedom,2021
12 Angry Men,1957
The Hunt,2012
Sunset Blvd.,1950
M,1931
Head-On,2004
The General,1926
Shoplifters,2018
The Passion of Joan of Arc,1928
The Kid,1921
Once Upon a Time in Anatolia,2011
Autumn Sonata,1978
A Woman Under the Influence,1974
Something Useful,2017
The Battle of Algiers,1966
Andrei Rublev,1966
Pixote: The Law of the Weakest,1980
Better Days,2019
Don't Let Them Shoot the Kite,1989
No Dogs or Italians Allowed,2022
Sátántangó,1994
A Season in Hakkari,1983
Le trou,1960
Joyland,2022
Made in England: The Films of Powell and Pressburger,2024
For Sama,2019
While We Watched,2022
Mulholland Drive,2001
Fantastic Mr. Fox,2009
A Clockwork Orange,1971
The Shining,1980
Happy Together,1997
Psycho,1960
Cléo from 5 to 7,1962
Dogville,2003
Taste of Cherry,1997
Vertigo,1958
Hiroshima mon amour,1959
Persepolis,2007
Wild Strawberries,1957
Another Round,2020
Metropolis,1927
Rashômon,1950
Amour,2012
Memories of Murder,2003
Meshes of the Afternoon,1943
Black Panthers,1968
The Edge of Heaven,2007
Mommy,2014
Grave of the Fireflies,1988
La Notte,1961
Along the Coast,1958
La Chimera,2023
High & Low - John Galliano,2023
Sidewalls,2011
Secrets & Lies,1996
And Then We Danced,2019
Alice in the Cities,1974
The Recorder Exam,2011
This Much I Know to Be True,2022
Malcolm X,1992
Sorry We Missed You,2019
Faces Places,2017
Searching for Sugar Man,2012
Fanny and Alexander (Theatrical Version),1982
Ikiru,1952
"Jeanne Dielman, 23, Quai du Commerce, 1080 Bruxelles",1975
Hit the Road,2021
Ugetsu,1953
Hearts of Darkness: A Filmmaker's Apocalypse,1991
The Wild Pear Tree,2018
Sunrise: A Song of Two Humans,1927
To Be or Not to Be,1942
A Man Escaped,1956
Close-Up,1990
Woman in the Dunes,1964
Eternity and a Day,1998
Werckmeister Harmonies,2000
Yi Yi,2000
The Eight Mountains,2022
Robot Dreams,2023
Sansho the Bailiff,1954
Tempestad,2016
The Painter and the Thief,2020
Ernest & Celestine,2012
Limbo,2020
Four Days in September,1997
Josep,2020
Directed by Andrei Tarkovsky,1988
A Regular Woman,2019
About Love,2019
McQueen,2018
All of Me,2014
Fallen Angels,1995
Frances Ha,2012
Mysterious Skin,2004
Blade Runner,1982
Dancer in the Dark,2000
One Flew Over the Cuckoo's Nest,1975
Carol,2015
City of God,2002
The King of Comedy,1982
The Elephant Man,1980
A Short Film About Love,1988
Vagabond,1985
The Man Without a Past,2002
Breaking the Waves,1996
Princess Mononoke,1997
La dolce vita,1960
My Neighbor Totoro,1988
Once Upon a Time in America,1984
Cold War,2018
Tokyo Sonata,2008
The Third Man,1949
Ninjababy,2021
Vortex,2021
Akira,1988
Ghost in the Shell,1995
Le Havre,2011
Once Upon a Time in the West,1968
Scenes with Beans,1976
...A Valparaíso,1963
Mustang,2015
The Servant,1963
Playtime,1967
Anatomy of a Fall,2023
"Like Father, Like Son",2013
Cries and Whispers,1972
Paths of Glory,1957
Drifting Clouds,1996
Cave of Forgotten Dreams,2010
The Color of Pomegranates,1969
Happy as Lazzaro,2018
Lucky,2017
Grand Illusion,1937
Through the Olive Trees,1994
The Gold Rush,1925
"Goodbye, Children",1987
Funeral Parade of Roses,1969
Past Lives,2023
Nostalghia,1983
Wadjda,2012
Prayers for the Stolen,2021
The Red Shoes,1948
Blackbird Blackbird Blackberry,2023
"Rome, Open City",1945
Loving Vincent,2017
Army of Shadows,1969
The Exterminating Angel,1962
Brother's Keeper,2021
Kedi,2016
Love Meetings,1964
Invisible Demons,2021
The Skeleton of Mrs. Morales,1960
My Uncle,1999
Scenes from a Marriage (Theatrical Version),1974
The Taste of Things,2023
Woman at War,2018
Güeros,2014
The Invisible Life of Euridice Gusmão,2019
High and Low,1963
Late Spring,1949
I Am Not Your Negro,2016
The Dark Knight Rises,2012
A Dog's Life,1918
Play It Safe,2021
Bestia,2021
Sherlock Jr.,1924
There Is No Evil,2020
Ordet,1955
A Special Day,1977
One More Time With Feeling,2016
Hello My Dear,2021
Songs for Drella,1990
Children of Paradise,1945
The Play,2005
Charulata,1964
Pather Panchali,1955
The Balcony Movie,2021
The Black Power Mixtape 1967-1975,2011
Cold Tropics,2009
A Brighter Summer Day,1991
You Hide Me,1970
Your Turn,2019
Apocalypse Now: The Final Cut,2019
Madame,1988
On Fertile Lands,1980
My Child,2013
Uncle,2021
Fight Club,1999
Fallen Leaves,2023
The Piano Teacher,2001
Fargo,1996
The Double Life of Véronique,1991
Decision to Leave,2022
Wasp,2003
We Need to Talk About Kevin,2011
There Will Be Blood,2007
Volver,2006
2046,2004
Goodfellas,1990
Night on Earth,1991
First Cow,2019
Talk to Her,2002
Casablanca,1942
Chinatown,1974
The Settlers,2023
Women on the Verge of a Nervous Breakdown,1988
Raging Bull,1980
Petite Maman,2021
The Florida Project,2017
Songs My Brothers Taught Me,2015
Solaris,1972
Alcarràs,2022
Phoenix,2014
Beanpole,2019
A Short Film About Killing,1988
The Great Beauty,2013
Au hasard Balthazar,1966
Cinema Paradiso,1988
Prisoners,2013
Pain and Glory,2019
Double Indemnity,1944
Time to Love,1965
Microhabitat,2017
The Night of the Hunter,1955
The Apartment,1960
Fitzcarraldo,1982
Bird,2024
Happening,2021
An Urban Allegory,2024
The Lovers on the Bridge,1991
Yojimbo,1961
Farewell Amor,2020
What We Do in the Shadows,2014
The Conformist,1970
The Return,2003
Ali: Fear Eats the Soul,1974
My American Uncle,1980
Possession,1981
I Am Not a Witch,2017
Summer 1993,2017
Perfect Blue,1997
"I, Daniel Blake",2016
Germany Year Zero,1948
Story of Women,1988
Mishima: A Life in Four Chapters,1985
All About Eve,1950
Our Little Sister,2015
The Wolf House,2018
Throne of Blood,1957
Underground,1995
Boy,2010
Tokyo-Ga,1985
The Turin Horse,2011
Nobody Knows,2004
The Tube with a Hat,2006
The Gospel According to St. Matthew,1964
Rocco and His Brothers,1960
"Lingui, The Sacred Bonds",2021
Pride,2014
The Bohemian Life,1992
The Wages of Fear,1953
Chronicle of a Summer,1961
Hoop Dreams,1994
The Bacchus Lady,2016
The Last Laugh,1924
Nun or Never!,2023
Los Angeles Plays Itself,2003
Inshallah a Boy,2023
The Place Without Limits,1978
Ivy,2015
Capernaum,2018
Nostalgia for the Light,2010
I Am Cuba,1964
Los olvidados,1950
Papusza,2013
Persian Lessons,2020
Aaahh Belinda,1986
The Great Buster: A Celebration,2018
Jacquot de Nantes,1991
The Seed of the Sacred Fig,2024
The Monopoly of Violence,2020
The Easy Life,1962
Stop Making Sense,1984
Papicha,2019
Varda by Agnès,2019
Indianara,2019
Little Girl,2020
Our Body,2023
Identifying Features,2020
The Kiss,1981
Gamak Ghar,2019
Tenere,2020
Meeting Jim,2018
Incompatible with Life,2023
As I Was Moving Ahead Occasionally I Saw Brief Glimpses of Beauty,2000
I'm in Love with Pippa Bacca,2019
Reservoir Dogs,1992
The Human Voice,2020
The Big Lebowski,1998
Lost Highway,1997
Breathless,1960
Melancholia,2011
"Oslo, August 31st",2011
Annie Hall,1977
Alien,1979
Heat,1995
Le bonheur,1965
Twin Peaks: Fire Walk with Me,1992
The Holy Mountain,1973
Down by Law,1986
North by Northwest,1959
The Green Ray,1986
The Wicker Man,1973
The Deer Hunter,1978
Toni Erdmann,2016
Everybody Loves Jeanne,2022
The Umbrellas of Cherbourg,1964
Barry Lyndon,1975
The White Ribbon,2009
"Aguirre, the Wrath of God",1972
Star Wars: Episode V - The Empire Strikes Back,1980
Nest,2022
The Conversation,1974
Vivre sa vie,1962
Victoria,2015
On Body and Soul,2017
Suzhou River,2000
L'avventura,1960
The Straight Story,1999
Touch of Evil,1958
La strada,1954
The Last Metro,1980
The Wind Will Carry Us,1999
But I'm a Cheerleader,1999
Ariel,1988
Manchester by the Sea,2016
Tomboy,2011
Last Year at Marienbad,1961
The Cabinet of Dr. Caligari,1920
Mon oncle,1958
Dahomey,2024
Wild Tales,2014
Le samouraï,1967
Elevator to the Gallows,1958
Winter Light,1963
"Family Romance, LLC",2019
Dona Flor and Her Two Husbands,1976
The Hand,2004
Fireworks,1997
My Night at Maud's,1969
The Red Balloon,1956
The Rules of the Game,1939
Through a Glass Darkly,1961
Ivan's Childhood,1962
The Young Girls of Rochefort,1967
"Black Cat, White Cat",1998
Mary and Max,2009
Accattone,1961
Cow,2021
The Spirit of the Beehive,1973
Pina,2011
Your Name,2016
My Dinner with André,1981
Still Walking,2008
Uncle Yanco,1967
Umberto D.,1952
L'Atalante,1934
Black Girl,1966
The 36th Chamber of Shaolin,1978
Good Morning,1959
The Watermelon Woman,1996
A Time for Drunken Horses,2000
Shadows of Forgotten Ancestors,1965
The Act of Killing,2012
The Holdovers,2023
A Man Called Ove,2015
Innocence,1997
Kind Hearts and Coronets,1949
The Fire Within,1963
Opening Night,1977
Baraka,1992
Memory,2023
Eat Drink Man Woman,1994
Blue Jean,2022
Kings of the Road,1976
Skies of Lebanon,2020
Senna,2010
Selfie,2019
The Stranger,1991
Mariner of the Mountains,2021
Lessons of Darkness,1992
Limelight,1952
Alamar,2009
The Painted Bird,2019
An Angel at My Table,1990
Notturno,2020
C'mon C'mon,2021
The Strong Ones,2019
Kokomo City,2023
"One Sings, the Other Doesn't",1977
RBG,2018
The Second Mother,2015
Hedgehog in the Fog,1975
Embrace of the Serpent,2015
The Roof,1956
Bruce Lee and the Outlaw,2018
Where's Firuze?,2004
Io capitano,2023
The House Is Black,1963
Bye Bye Brazil,1980
Cerulia,2017
The Promised Land,2023
Max Richter's Sleep,2019
Babylon,1980
Sweet Thing,2020
The Specials,2019
Salaam Bombay!,1988
Jaggi,2022
The Herd,1978
The Rose Seller,1998
The Hotel of Waifs,2018
Vicenta,2020
Marona's Fantastic Tale,2019
The Substance,2024
Eternal Sunshine of the Spotless Mind,2004
No Country for Old Men,2007
The Graduate,1967
Brazil,1985
The Five Devils,2022
Full Metal Jacket,1987
Blue Velvet,1986
Jules and Jim,1962
The Discreet Charm of the Bourgeoisie,1972
Reality+,2014
Paterson,2016
Charade,1963
Burning,2018
Belle de jour,1967
Monty Python and the Holy Grail,1975
Dead Man,1995
Pierrot le Fou,1965
Bad Education,2004
Manhattan,1979
Buffalo '66,1998
27,2023
Some Like It Hot,1959
The Lives of Others,2006
The Diving Bell and the Butterfly,2007
Nosferatu,1922
Howl's Moving Castle,2004
Matthias & Maxime,2019
Shadows in Paradise,1986
Popeye the Sailor Meets Sindbad the Sailor,1936
Barbara,2012
The Match Factory Girl,1990
Tangerine,2015
La cérémonie,1995
Peeping Tom,1960
Beau travail,1999
Moonlight,2016
Hunger,2008
Bacurau,2019
Days of Heaven,1978
Lawrence of Arabia,1962
Badlands,1973
Mouchette,1967
L'Eclisse,1962
Waltz with Bashir,2008
Network,1976
The Terrorizers,1986
Revanche,2008
Battleship Potemkin,1925
Do Not Expect Too Much From the End of the World,2023
3-Iron,2004
Ida,2013
Naked,1993
Martin Eden,2019
A Summer's Tale,1996
The Kindergarten Teacher,2018
The Misfortunates,2009
Mother,2009
All Hands on Deck,2020
Winter Boy,2022
La ciénaga,2001
In the Aisles,2018
Wheel of Fortune and Fantasy,2021
Leviathan,2014
Queen of Hearts,2019
Diary of a Country Priest,1951
The Red Circle,1970
The Virgin Spring,1960
The Seventh Continent,1989
Jiro Dreams of Sushi,2011
A Different Man,2024
The Silence,1963
Ten,2002
The Cassandra Cat,1963
Tabu,2012
The Trial,1962
Humanist Vampire Seeking Consenting Suicidal Person,2023
Diabolique,1955
Submarino,2010
Hidden,2020
The Treasure of the Sierra Madre,1948
Viridiana,1961
Beauty and the Beast,1946
Junun,2015
Weekend,2011
Taxi Tehran ,2015
The Castle of Purity,1973
Orpheus,1950
Mr. Klein,1976
The Last Picture Show,1971
Ballad of a White Cow,2020
Koyaanisqatsi,1982
Poetry,2010
Born in Flames,1983
Finding Vivian Maier,2013
Wet Sand,2021
Futura,2021
Brief Encounter,1945
Camera Buff,1979
The Rider,2017
A Hero,2021
Onibaba,1964
In a Lonely Place,1950
God's Own Country,2017
Another World,2021
Rififi,1955
One Cut of the Dead,2017
Mädchen in Uniform,1931
Softie,2021
Bellissima,1951
Reminiscences of a Journey to Lithuania,1972
Mur Murs,1981
The Circus,1928
Kes,1969
The Tale of the Princess Kaguya,2013
Rabiye Kurnaz vs. George W. Bush,2022
Free Chol Soo Lee,2022
Rewind & Play,2022
Landscape in the Mist,1988
Djam,2017
Time of the Gypsies,1988
Cría cuervos...,1976
The Cranes Are Flying,1957
One Way or Another,1977
Dersu Uzala,1975
"Steamboat Bill, Jr.",1928
Araby,2017
Ludwig,1973
System Crasher,2019
Dimensions of Dialogue,1983
The Testament of Dr. Mabuse,1933
Raise the Red Lantern,1991
Samsara,2011
Faust,1926
The Braves,2021
Pirosmani,1969
Buddies,1985
The Address,2022
The Time Masters,1982
A German Youth,2015
Where Do We Go Now?,2011
To Be and to Have,2002
La belle époque,2019
Investigation of a Citizen Above Suspicion,1970
The Mother and the Whore,1973
Day of Wrath,1943
Kirikou and the Sorceress,1998
Never Look Away,2018
And Life Goes On...,1992
The End of Evangelion,1997
Antônio das Mortes,1969
The Ascent,1977
Love and Anarchy,1973
Hope,1970
The Trial,2018
The World of Apu,1959
Talking About Trees,2019
The Red Light Bandit,1968
The Swallows of Kabul,2019
Trilogy: The Weeping Meadow,2004
"My Dreams, My Love and You",1987
Happy Hour,2015
The Mauritanian,2021
Antipop,2023
"Days of Fire, Love and Anarchy: The Turkish Sinematek and Onat Kutlar",2023
Napoléon,1927
The Big City,1963
Piano Piano Kid,1991
How to Save Asiye,1986
Sheroes,2021
Mayor,2020
Human,2015
"Under The Road, The River!",2019
Los silencios,2018
Dhuin,2022
Portuñol,2020
Finding Rahmat,2017
Shiva Baby,2020
Amélie,2001
Three Colors: White,1994
Rotting in the Sun,2023
Star Wars: Episode IV - A New Hope,1977
"Paris, 13th District",2021
Only Lovers Left Alive,2013
Night of the Living Dead,1968
Schindler's List,1993
Reprise,2006
Rosemary's Baby,1968
The Shawshank Redemption,1994
Stranger Than Paradise,1984
That Obscure Object of Desire,1977
Antoine and Colette,1962
Pickpocket,1959
The Bones,2021
Soul Kitchen,2009
Do the Right Thing,1989
Yannick,2023
Singin' in the Rain,1952
Dog Day Afternoon,1975
Control,2007
Transit,2018
It's a Wonderful Life,1946
The Thing,1982
Call Me by Your Name,2017
Grizzly Man,2005
Grand Theft Hamlet,2024
"4 Months, 3 Weeks and 2 Days",2007
A Prophet,2009
Law of Desire,1987
Amarcord,1973
My Girlfriend's Boyfriend,1987
Notorious,1946
The Wind that Shakes the Barley,2006
The Past,2013
Christiane F.,1981
Starfuckers,2022
Paprika,2006
On the Waterfront,1954
Red Desert,1964
The Intouchables,2011
The Son's Room,2001
The Red Turtle,2016
The Structure of Crystal,1969
Nausicaä of the Valley of the Wind,1984
Ratcatcher,1999
Orlando,1992
"Spring, Summer, Fall, Winter... and Spring",2003
I vitelloni,1953
The Broken Circle Breakdown,2012
Distant,2002
Duck Soup,1933
Stiletto: A Pink Family Tragedy,2021
Daisies,1966
The Long Goodbye,1973
The Passenger,1975
Jane B. par Agnès V.,1988
20th Century Women,2016
Who's Afraid of Virginia Woolf?,1966
The Bitter Tears of Petra von Kant,1972
Between Two Dawns,2021
The Zone of Interest,2023
Kikujiro,1999
3 Women,1977
BPM (Beats Per Minute),2017
David Lynch: The Art Life,2016
About Elly,2009
The Leopard,1963
Stroszek,1977
Face to Face,1976
The Lighthouse,2006
Blind Chance,1987
Faces,1968
"Jill, Uncredited",2022
The Guilty,2018
In a Year with 13 Moons,1978
Crumb,1994
Playback,2019
Destiny,2006
Taming the Garden,2021
Paper Moon,1973
The Man Who Shot Liberty Valance ,1962
Beauty and the Dogs,2017
Céline and Julie Go Boating,1974
Hara-kiri: Death of a Samurai,2011
Punishment Park,1971
The Secret of the Grain,2007
Autumn,2008
Kwaidan,1964
Ace in the Hole,1951
Mamma Roma,1962
Perfumed Nightmare,1977
I'm Going to Santiago,1964
An Autumn Afternoon,1962
Entranced Earth,1967
Miracle in Milan,1951
The Selfish Giant,2013
The Eternal Feminine,2017
Adieu Bohème,2017
The Face of Another,1966
Corpus Christi,2019
The German Sisters,1981
Love Exposure,2008
The New Kid,2015
Ricordi?,2018
Faya Dayi,2021
Sweet Smell of Success,1957
Big Bang,2022
Forbidden Games,1952
The Gleaners and I: Two Years Later,2002
Little Dieter Needs to Fly,1997
Cameraperson,2016
Joy Division,2007
Pandora's Box,2008
The Cup,1999
Ankur,1974
Red Beard,1965
A Matter of Life and Death,1946
Fremont,2023
The Adventures of Prince Achmed,1926
The White Balloon,1995
Love Streams,1984
Whistle If You Come Back,1992
Gay USA,1977
The Vampires of Poverty,1978
Toss-Up,2004
Overseas,2019
The Look of Silence,2014
Eureka,2000
Marketa Lazarová,1967
Early Summer,1951
A Moment of Innocence,1996
Fabian: Going to the Dogs,2021
Buoyancy,2019
Magallanes,2015
Earth Light,1970
The Crucified Lovers,1954
Jean-Michel Basquiat: The Radiant Child,2010
An Elephant Sitting Still,2018
All the Beauty and the Bloodshed,2022
Aparajito,1956
The Siamese Bond,2020
"Quo vadis, Aida?",2020
On the Way to School,2008
The Cameraman,1928
Yusuf and Kenan,1979
Burning Days,2022
Winter Nomads,2012
Dawson City: Frozen Time,2016
Wajib,2017
The Life of Oharu,1952
Landless,2019
Charcoal,2022
Mirch Masala,1986
Mercedes Mon Amour,1992
